web-scraper-order,web-scraper-start-url,titl,imag-src,click,click-href,conte,revie,star,author
"1749106805-13","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","江边里.芝芝柑普，妙啊！","https://sns-webpic-qc.xhscdn.com/202506051459/782defeb7af6b33285302c7e12d4f433/notes_pre_post/1040g3k831heph8jtju605o4bqhj08qtdpvlkrco!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/6823f2720000000022004479?xsec_token=ABH4orzxWzd4tQTEcjNJ3x5KJmYy3hGXtnLCfShsBb8IU=&xsec_source=","喜茶👉🏻江边里.芝芝柑普，少冰🧊少糖🍬多云顶！小这个喝不惯青柑的应该会觉得很yue🤣
青柑普洱茶底加上芝士奶盖，撒咸陈皮粉！太妙了！这个陈皮粉简直画龙点睛让整杯奶茶动起来！
我本来很讨厌小青柑普洱的（受茶话弄的茯生半日闲的毒打太深😷）喜茶这个茶地不算很浓所以接受良好（喝起来有点王老吉的草本凉茶味🤣🤣），云顶也不算很浓所以不会甜腻，打开杯盖喝就先浓后淡整个一个清爽型，荣升我咸奶茶排行榜第一名
#喝点不一样 #奶茶 #喜茶 #小青柑","[]","1","Zzz..."
"1749106811-14","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","减脂喝了喜茶芝芝柑普","https://sns-webpic-qc.xhscdn.com/202506051459/73fc520aa1f6636296b7454bbc5f180a/1040g00831hdkt7rb38104a4v5bev2cke89s12eg!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/6822d766000000002301111a?xsec_token=AB6yjUnyT_glcMEMXXzYp49DuXmYq81zud9D_fH5-aybs=&xsec_source=","√喜茶的之前的地区限定款今天在全国上了，513限时买一送一，大家喝了吗
	
√含有：糖🍬，定制清乳，牛乳，柑普茶汤茶🍵，芝芝云顶，陈皮粉。加糖的热量大概220kcal。（减脂尝口味道就放下了）
	
√网上推荐这样喝：去冰，少少糖🍬，乳茶，多云顶，陈皮粉。官方推荐：不用吸管斜着45°大口喝。大家试试看，这样喝会好喝一些吗。
	
√规格：我选了少冰🧊，乳茶，少少少甜，多云顶，加陈皮粉（喜欢茶味🍵多一些就换茶底，也有说茶底🍵的会有人接受不了，正好买一送一，大家可以两个都试试）
	
√口感：没搅开第一口是中药味💊，几乎不甜🍬。后来喝着有陈皮味，或者青柑味？（喝着的味道像闻着的洁厕灵味）。搅开后：奶盖加进去，喝起来口感是咸咸甜甜的，带有奶的浓郁，有种清新陈皮的味道（洁厕灵味只有一点点了🤏🏻）。多放一会冰🧊化了喝会好喝点。
	
√搅拌后斜着喝（冰化了喝的口感）：有没有椰子🥥味和一点点咖啡味☕（我知道这个比喻不太贴实际，但是好像有点这种味，不要喷我）
	
√要搅开喝哦。总体上味道比较新奇，像是口香糖类、清新口气糖类味道，不知道热的是什么味道。甜度搅拌后对我这种不喜甜的来说刚刚好。这款喜欢的人会很喜欢，不喜欢的一杯能喝一天。对我来说，不会再点，因为对这个味道不敏感，没有再买的冲动。
	
√以上仅代表个人观点，不喜勿喷。
#喜茶 #喜茶江边里芝芝柑普  #江边里芝芝柑普 #喜茶买一送一","[]","1","大米"
"1749106816-15","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","截止目前喜茶九大门店限定（下篇）","https://sns-webpic-qc.xhscdn.com/202506051459/4991fd94d838db4802921d7cb74db666/1040g2sg31ggivv36jo6g5os6qre7qqcksra0e88!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/6739daff000000001a035965?xsec_token=ABO_GRQT2glXlTpaCufxpihUVEDvybw_aU1qWWF1tKHmk=&xsec_source=","七、喜茶·茶坊（含黑金）限定系列🍶如图一二三
①「喜茶·茶坊」普通门店：
苦巧·碎银子25r、苦抹·火烧云23r
苦抹·白露栀子21r、苦抹·现打抹茶23r
碎银子茶拿铁21r、岩兰水仙茶拿铁21r
山青乌龙茶拿铁18r、功夫红茶拿铁18r
山青乌龙12r、白茉窨绿12r、白露栀子12/16r
碎银子·黑茶布21r、岩兰水仙·茶布15/18r
白茉窖绿·茶布15/16r、熟时功夫·茶布15/17r
岩兰水仙·厚乳茶15/16r、熟时功夫·厚乳茶15/16r
山青百香11/12r、清茉百香11/12r
鲜沏·山青乌龙7/8r、鲜沏·白茉窨绿7/8r
鲜沏·白露栀子7/9r、苦抹云顶3r、润桃胶2r
仅存广州万菱汇店、深圳壹方城店、佛山岭南天地店
其中单品价格较低的为佛山岭南天地店
喜茶·茶坊首店广州万菱汇店于2023.11.10开业
江门中天新地、南宁会展航洋城、惠州惠港新天地、中山石岐大信新都汇、沈阳三台子万象汇、上海环球港、上海外滩太古里也曾开过茶坊门店，近期已陆续结业
喜茶·茶坊门店菜单有别于喜茶常规门店，产品回归到茶本身，主要有“苦抹”“苦巧”“茶布”“牛乳茶”“厚乳茶”“鲜沏”五大系列
②「喜茶·茶坊」黑金门店：
苦抹·火烧云23r、苦抹·白露栀子21r、苦抹·现打抹茶23r
暮春黄茶·手煮乳茶23r、功夫丹红·手煮乳茶25r
甘露清玫·手煮乳茶23r、娟姗·沉香乌龙18r
娟姗·花仙茉莉17r、娟姗·玉露煎茶18r
娟姗·茉韵绯红18r、娟姗·福鼎白茶15r
娟姗·青茗瑞香15r、暮春黄茶·冰茶15r
沉香乌龙·冰茶15r、功夫丹红·冰茶15r
福鼎白茶·冰茶15r、青茗瑞香·冰茶15r
北京三里屯太古里黑金茶坊于2024.05.15开业
喜茶·茶坊灵感来源于茶文化盛行的宋朝茶坊，是喜茶对于茶更深的探索。回溯宋朝，宋人以黑为贵，喜茶延续黑金的高端呈现，打造全国首家黑金喜茶·茶坊，为茶客带来更有质感的精品饮茶体验
八、喜茶·波波站限定🧋如图四（已闭店）
黑糖波波抹茶牛乳瓶15r、黑糖波波水牛乳瓶16r
黑糖波波抹茶水牛乳瓶16r、黑糖波波乳茶瓶15r
2024.08.17于十堰勋西富康路开业的以波波为灵感的门店
九、江门江边里创始店限定饮品：芝芝柑普19r🍊如图五
精选江门特产小青柑搭配普洱原叶冲泡茶汤，搭配真奶真芝芝云顶，致敬灵感之作
#喜茶 #喜茶茶坊 #喜茶苦巧碎银子 #喜茶苦抹火烧云 #喜茶黑金茶坊 #喜茶波波站 #喜茶江边里创始店 #你最喜欢哪个限定  [投票]#","[{""revie"":""曲終人の偽善作者江边里·芝芝柑普2025.05.13全国已上线置顶评论05-13北京11曲終人の偽善作者浓茶拿铁系列2025.05.13茶坊门店已上新05-13北京赞回复""},{""revie"":""Hekmatyar_芝芝柑普有一种喜茶刚开业的时候喜茶的味道2024-11-18112💗边缘糖果化🌸🍀💰💗@GiTi2024-11-20赞回复展开 1 条回复""},{""revie"":""芋泥椰碗、喝过茶坊，感觉差距不是很大，那个江边里的那个柑普挺好喝的就是去了两次都要等好久2024-11-1954芋泥椰碗、2024-11-193回复展开 3 条回复""},{""revie"":""过春天三里屯黑金茶坊没有常规茶坊的茶雪冰雪山和茶卡布，我恨2024-11-1792唐僧洗头爱飘柔真的恨2024-11-171回复展开 1 条回复""},{""revie"":""去冰半糖2024-12-04赞1曲終人の偽善作者见上一篇2024-12-05赞回复""},{""revie"":""Cx澳門銀河曾經有一款大吉大利，可惜現在沒有了2024-11-183回复""},{""revie"":""✌专门去喝过芝芝柑普 感觉不错2024-11-183回复""},{""revie"":""VicRR@白色面包yu @迪君要一直努力03-31赞3白色面包yu其实我不是很喜欢喜茶）04-01赞回复展开 2 条回复""},{""revie"":""春水煎茶.@神游ing 我去 我好想喝2024-12-08赞2神游ing这是新出的吗 武汉没有2024-12-08赞回复展开 1 条回复""},{""revie"":""pipi好喝！2024-11-181回复""}]","691","曲終人の偽善"
"1749106822-16","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","不愧是创始店限定款","https://sns-webpic-qc.xhscdn.com/202506051459/684796418f1e0d61c104c8d9a41d7321/notes_pre_post/1040g3k031e89sblvgs005n5k730li1219qrvm6o!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/67baff5b0000000029033951?xsec_token=ABU60SfzqovbKZQGTxezzmuBlSsl50Eah7gX6GKit2CQY=&xsec_source=","去江门时顺便去了喜茶创始店喝了门店限定款，芝芝柑普，确实很特别
	
上面的芝士奶盖撒了陈皮粉，下面是柑普茶，无论是单吃奶盖还是直接大口喝奶茶都有很清香甘甜的味道。陈皮和柑橘的味道虽重，但不冲，与奶盖和牛乳融合起来比我想象的要好很多，一口气喝完一整杯也不腻
	
#喜茶 #江门喜茶 #奶茶推荐 #吃了甜食会开心","[{""revie"":""小皮Emma寻宝记🥐听描述就心动了02-24赞1Timme好会吃作者有机会试试02-24赞回复""},{""revie"":""唔想翻工的斌叔这杯是值得回购😍😍02-23赞1Timme好会吃作者是的，就是不太方便去买02-24赞回复""},{""revie"":""食白粥降火哇，想去02-24赞回复""}]","9","Timme好会吃"
"1749106825-17","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","江边里•芝芝柑普","https://sns-webpic-qc.xhscdn.com/202506051459/2ddab7d3b18a91023dc47cc3c80cc98f/notes_pre_post/1040g3k831hlj19634qkg5p2cg8rah1pcjb5pesg!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/682ae832000000002300221c?xsec_token=ABu21mnESrF9FRiQZxi4oh5vXoDl9ZsDq1jrM2MGVXQGU=&xsec_source=","个人觉得味道还是不错的，挺醇香的#喜茶","[]","赞","冲出马路"
"1749106832-18","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","🆘真的很难喝🍵爱某树叶的也不会喜欢","https://sns-webpic-qc.xhscdn.com/202506051459/d9594ac0033627d0fe2104c0c2591e25/1040g00831i10l0c46s004ang7a8bq6jq926emj0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/68369aee000000002202ca52?xsec_token=ABsVHTHAtkE_JbanFNuuFXXfmLa03VkVQt-ydMIh7PXAw=&xsec_source=","#一喝一个不吱声 #奶茶测评 #喝不了一点 #喜茶 #喜茶新品 #芝芝柑普茶","[]","赞","多肉葡萄煮小汤圆"
"1749106838-19","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","喜茶！芝芝柑普茶！还我睡眠","https://sns-webpic-qc.xhscdn.com/202506051459/f4a4b03cda7fb444d20a26aa2606c529/notes_pre_post/1040g3k831heb0p05j4kg5nf26j608auevub53og!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/68237b650000000022028949?xsec_token=ABH4orzxWzd4tQTEcjNJ3x5BixMlcKKpbIh6sSecbcu_w=&xsec_source=","好喝！但你让我睡不着了！ 平时这个点已经睡的跟🐷一样了#今天喝什么","[{""revie"":""kk吃慢点➕105-14浙江赞回复""},{""revie"":""血色失眠05-14河北赞回复""},{""revie"":""小红薯64CD60A6加一05-14江西赞回复""},{""revie"":""亲爱哒喵小姐同款失眠中……05-14广东赞回复""},{""revie"":""⭐清澄白河一样05-14上海赞回复""}]","2","~~"
"1749106843-20","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","江门限定","https://sns-webpic-qc.xhscdn.com/202506051459/a62cf7934fb9b084c5f4ea393b9507e0/1040g00831fp3v7eh7i004a37setnq3bkvdd8us0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/67ecfbc1000000001c01595e?xsec_token=ABOZoCiL4Lr58-cfzgslCkfx7aL7YSYCznV_V2Yj_Zl_w=&xsec_source=","喜茶创始店的“特产” · 江门限定
	
芝芝柑普·喜欢喝普洱茶的，这杯不要错过~
普洱味儿+芝士   好喝！
	
#江门 #江门喜茶创始店 #江门探店 #江门打卡 #喜茶#奶茶 #芝士控 #普洱茶","[]","2","瘦猴儿Aw."
"1749106848-21","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","喜茶 贴纸","https://sns-webpic-qc.xhscdn.com/202506051459/4ed23877312c820998b217a47981c551/notes_pre_post/1040g3k831i15ce1a7ce0412lbrt7vj2o2ff3pi0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/6836c31f0000000021007101?xsec_token=ABsVHTHAtkE_JbanFNuuFXXTvL3NUFM6PpAmwq6gK66aQ=&xsec_source=","芝芝柑普
	
贴纸
	
#喜茶 #芝芝甘普#喜茶芝芝柑普 #喜茶贴纸","[]","2","榴莲樱桃草莓荔枝"
"1749106853-22","https://www.xiaohongshu.com/search_result?keyword=%25E5%2596%259C%25E8%258C%25B6%25E8%258A%259D%25E8%258A%259D%25E6%259F%2591%25E6%2599%25AE&source=web_search_result_notes","江门限定款|在深圳喝到了！","https://sns-webpic-qc.xhscdn.com/202506051459/26b660aa67db038023306b804b4763c2/notes_pre_post/1040g3k031hercub8ji005p1ahemkc0iutml064g!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/6824020b000000002100524b?xsec_token=ABA-q4OtiYT5k8I8VUyqRfqgmuWS7PMLznZ4vSt3FnI4k=&xsec_source=","2025.5.13号买一送一！！
江门限定款在深圳喝到了！！
奶盖上撒了陈皮粉也好爱！！！
奶盖好喝！
底下的陈皮柑橘也好喝！！喜欢😍😍😍
五一假期去了江门，听说每天都900+杯，不敢去，没想到13号全国上了喜茶给力！！
#喜茶 #江门限定 #江门限定喜茶 #芝芝柑普限定 #芝芝柑普茶 #一起嚯奶茶","[]","1","小曾在逛街"
