web-scraper-order,web-scraper-start-url,titl,imag-src,click,click-href,conte,revie,star,author
"1749230665-1","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","","","","","","","",""
"1749230665-2","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","","","","","","","",""
"1749230665-3","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","","","","","","","",""
"1749230665-4","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","","","","","","","",""
"1749230669-5","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","","https://sns-webpic-qc.xhscdn.com/202506070124/ff33324fb1ff55f38b36a38b3ac9cf37/1040g0083198bfmc6kg005ovhge443vqcb44l550!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/67173537000000002401a656?xsec_token=ABHBGQxU0znItxHNIWrUXj6EDcFze-WL5pBGbEwWpXh4I=&xsec_source=","小青柑|柑香鲜爽,甘甜醇滑
常喝清润防燥,气息通畅[加油]
新宝堂智慧农业赋能产业发展👍
中华老字号•传承116年•新宝堂[太阳]","[]","1","新宝堂陈皮北京运营中心"
"1749230674-6","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","江门。。布维记小青柑系列回归。。","https://sns-webpic-qc.xhscdn.com/202506070124/f80dd81313bcf085466fdc493d49e927/1040g008315ekp3ct1c005pamp2pi5reto6aktgg!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/669a93c9000000000a007ad2?xsec_token=ABfSTeWW-4z9IvVIrbuqfyWvoQmKupvhI27h67eml8GU4=&xsec_source=","#宝藏饮品店分享 #喝不腻的柠檬茶 #给我一杯果茶 #全球吃喝小分队 #江门茶饮 #布维记 #布维记新品打卡 #布维记小青柑系列 #小青柑 #新会小青柑","[{""revie"":""活着太饿了.作者置顶评论2024-07-20赞回复""},{""revie"":""丑不垃圾香菇头解渴2024-07-20赞回复""}]","53","活着太饿了."
"1749230679-7","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","关于夏天｜拍摄｜絮｜新会小青柑","https://sns-webpic-qc.xhscdn.com/202506070124/6fcd4f28e224484e3c75aa260128c815/1040g00830nkt8hrtni605p4ufus752r1f0pqr3g!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/64d63da2000000000c035ddf?xsec_token=ABbABQLLeg0uZ1edAllhRABMiVo1qZ6VIQekNvnXpXI2k=&xsec_source=","#用镜头捕捉初夏
	
新会柑园
叶子揉碎了都带有独特的香气
独属于夏日的清新
	
#产品拍摄
#小青柑
#新会柑
#新鲜采摘
#采摘","[{""revie"":""甜甜甜甜乀小请问前辈这是用什么设备和镜头拍的呀2024-10-09赞2山晓的茶影叙作者这位小宝，用的a7m3加20-70的镜头2024-10-09赞回复展开 1 条回复""},{""revie"":""下午四点钟的咖啡香气M4呢2023-08-11赞2山晓的茶影叙作者M4藏起来2023-08-11赞回复展开 1 条回复""},{""revie"":""小柒可以借图用吗？2023-11-23赞1山晓的茶影叙作者宝宝，借不了哦2024-09-14赞回复""},{""revie"":""山晓的茶影叙作者借不了哦，宝宝，这是客户图2024-09-14赞回复""},{""revie"":""右右右右右括号您好！可以借用您的图片用在学校的比赛中吗，主题是江门的陈皮发展这样，小比赛，您的图片很好看，想要把图片放在ppt中展示，可以吗？谢谢！会标注图片来源！03-08赞回复""},{""revie"":""石头仔可以给个地址吗2024-09-25赞回复""}]","186","山晓的茶影叙"
"1749230681-8","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","喜茶新品青柑普洱踩雷","https://sns-webpic-qc.xhscdn.com/202506070124/c050cd1b860ad08f248026e6d1cbfa80/1040g00831hdotlpe3s0048269qmte1i5jpnekkg!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/6822e7960000000021000b9e?xsec_token=AB6yjUnyT_glcMEMXXzYp49PHtKjAGOsnaQOssD-Kh1zI=&xsec_source=","青柑普洱我好喜欢，可以天天喝
喜茶新品我还蛮期待的，还买一送一
结果……
妥妥踩雷，味道好奇怪
青柑普洱和奶一点都不协调
味道都想反胃
这次真输给了5块钱一支的东方树叶了
#小青柑 #想喝就喝的茶","[{""revie"":""ᅠᅠᅠ喝完只能说我果然讨厌普洱05-13中国澳门赞1柠檬茶去冰微糖作者纯茶我挺喜欢05-13广东赞回复""},{""revie"":""烤肉烤肉买一送一买了…喝了两口想吐05-13广东赞回复""}]","1","柠檬茶去冰微糖"
"1749230685-9","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","喝到了，真的有小青柑的味道","https://sns-webpic-qc.xhscdn.com/202506070124/621970d8cf31fad929ad0c86180dfba2/notes_pre_post/1040g3k831i65nsqt6kkg5ov7f5j9tbgeolhc930!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/683be35900000000230008ea?xsec_token=ABLgdeH7b3XxoOoEa-w2jIlck54p-ptymDX4JRwI9pF4I=&xsec_source=","现场扫码点单，提示排队250多位，先去斜对面的裕记吃了个午餐，足足点了五种小食，两人才36元，超划算。
	
吃完饭，显示还要等30分钟，所以在喜茶对面的买手服装店橱窗外坐着，冷气时不时的从门缝里漏出来，我就像是种水稻的霍元甲，顿感舒爽。。
各位也准备去喜茶打卡的朋友，一定记得提前预约，现场下单排队真的太久
#喜茶创始店 #芝芝柑普轻乳茶 #喜茶","[{""revie"":""花栗鼠不爱吃胡萝北🥕请问250多位等了多久呀现在想点，看到前面400杯，想估一下时间过去5天前广东赞4斯加格拉作者80分钟5天前广东1回复展开 3 条回复""},{""revie"":""蕉蕉咯我也喝到了，普普通通的感觉5天前广东赞1斯加格拉作者我挺喜欢小青柑味道的，平时泡茶也爱喝5天前广东赞回复""},{""revie"":""聪明伶俐犇犇好喝5天前广东赞回复""}]","1","斯加格拉"
"1749230692-10","https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown","这才是小青柑控天天想喝的啊！！","https://sns-webpic-qc.xhscdn.com/202506070124/6c540f434834bc9fcda38ec63705caf1/1040g2sg31h5oagrcju6g5p2vbsd52bd3ldqvnf0!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/681ab0d70000000003038b28?xsec_token=AB-QIdev7zB6-VlPJDU4ghYmGm4iRi0rOGrcuaYyWcPWU=&xsec_source=","卡士真有你的！！！简直是太太好喝咯
在酸奶里添加了小青柑
这种酸酸甜甜的口感我真的爱鼠！！
冰冰凉凉酸甜清爽也简直是夏日解暑神器
含有7种益生菌配料表也很干净
入口一整个丝滑
小青柑的回味萦绕在舌尖
不是我吹我一下子真的能喝好几瓶
#卡士  #卡士酸奶 #卡士007小青柑#盒马 #酸奶 #盒马新品","[{""revie"":""怎么还想吃酸味重吗05-07赞回复""}]","51","目标九十斤"
