web-scraper-order,web-scraper-start-url,titl,imag-src,click,click-href,conte,revie,star,author
1749231112-93,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,大雨转晴??独处，断联，山里露营,https://sns-webpic-qc.xhscdn.com/202506070124/4669aa8fbe129a501eff5e59fef38104/1040g2sg31hgd6et33oe0437coamo7eq5t4qm57g!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/682599400000000021000ea3?xsec_token=ABkRx9JAsSVL0Hs_B-4zFwcu15MCzE_bvnwB97TfqnQ3g=&xsec_source=,#vlog #浪漫生活的记录者 #独居女孩 #蓝瓶咖啡 #即溶咖啡 #蓝瓶速溶咖啡 #速溶咖啡推荐  #速溶咖啡#BlueBottle#原木风,"[{""revie"":""小飞侠这都需要钱啊 大家清醒一点05-28山东73118月暖夏谢谢你，刚想流出的泪憋回去了，这份精致的感动离自己太过遥远。。05-28广东17回复展开 10 条回复""},{""revie"":""术业有砖攻连记录都懒得拍才是真休息7天前上海203紫蝶这样短短两分钟的视频，从想内容，到各个视角拍，再后期剪辑，如果一个人不整个一两天出不来效果，看着轻松其实很累。4天前安徽9回复展开 2 条回复""},{""revie"":""小红薯65F6F08F一个人住要注意安全05-15新疆107丶时髦人又不是若羌县05-15云南6回复展开 6 条回复""},{""revie"":""五月桂花拿铁看着好好喝05-15陕西21小青柑作者很特别的味道05-15湖北赞回复""},{""revie"":""橘里花园Julie Garden躺椅看着很舒服，我也有一把，没怎么用过昨天 23:29上海赞回复""},{""revie"":""青春期大叔但凡多一个人都会打碎这份美好 一定要一直单身下去昨天 21:02山东赞回复""},{""revie"":""丽莎哇，终于看到脸。超级大美女昨天 23:31天津赞回复""},{""revie"":""momo你有这个家，何必去山里昨天 22:29重庆赞回复""},{""revie"":""我和我的Lucky （钱多多）霸王撅真好，在谁家买的推荐一下，谢谢??昨天 20:26黑龙江赞回复""},{""revie"":""靡不有初 鲜克有终背景音乐放“半山听雨”就更好了昨天 21:43广东赞回复""}]",6184,小青柑
1749230703-12,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,暴雨天宅家???听风看雨吃火锅,https://sns-webpic-qc.xhscdn.com/202506070124/71bccc5ebeac89946a7f805b38dd3121/1040g00831i3nav7v7800437coamo7eq5f0gfcu8!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/6839610f0000000022027170?xsec_token=ABRJkm_uSFj7SEkHsOO5bhzj6ct_AkJlH_oOZBTyp7se8=&xsec_source=,#浪漫生活的记录者 #vlog #独居女孩 #雨天居家也快乐 #安心洗衣上天猫#蓝月亮#至尊洗衣精华#浓缩先锋#家的养成计划,"[{""revie"":""momo嗯，怎么说呢，人和人之间都是存在一定利益关系的，我从来不会对一段感情包括亲情友情爱情这些抱有什么太大的期待，我总是能想到最坏的结果，这样接受的时候也能坦然面对，如果发现那个关系非常非常的好，对方对我也很好，我也会真诚的回馈给对方，我觉得那就是我在设想所有坏结果之后的小惊喜。不过说实话，能和我成为朋友的少之又少，能被我称之为朋友的，那更是少之又少，我这个人设防太高，目前为止，一个阶段只有一个朋友，有的时候可能都没有朋友，但我也习惯了独处1天前浙江55小红薯64B05135记得《红楼梦》中对妙玉的判词：“万人不入她的眼”，我们这一生呀，可能很随和也能很好的与人共处，可真正能走进你的世界入了你心的又有几人呢？??????昨天 12:06甘肃2回复展开 4 条回复""},{""revie"":""悟空-醒醒“你可以过得好，但不可以过得比我好”同事就是同事，成不了朋友，除非没有利益关系7天前江西18114小鱼不需要充电不光同事，甚至亲戚朋友大部分都是这样6天前江西46回复展开 13 条回复""},{""revie"":""静静不悄悄说实话，背靠着这个大山感觉有点吓人的。6天前江苏2026泡芙.我就喜欢她加窗外 一片绿特别治愈5天前浙江47回复展开 25 条回复""},{""revie"":""薇笑1天前湖北赞回复""},{""revie"":""天纵便携镜子化妆包1天前浙江赞回复""},{""revie"":""大双鱼人性的丑陋，嫌你穷怕你富，适用任何关系，职场多年，总结经验没有永远的朋友，只有永远的利益昨天 02:50湖北赞1Up是的昨天 19:22广东赞回复""},{""revie"":""不秃不秃旋转小桌好喜欢昨天 10:24江苏赞回复""},{""revie"":""蔡云飞｜不懂摄影喜欢你家窗外的大自然，咱们可以换房吗5天前北京23momo你家这都市夜景也很赞呀 我家窗外也是一片绿 小区绿化号称浦东第二 咱俩可以换2天前上海赞回复展开 2 条回复""},{""revie"":""默默熙很正常 认识了十几年的亲友也可以背刺 刚开始会觉得接受不了 但是这就是人性 永远不要相信人 但是要相信人性昨天 06:02英国赞回复""},{""revie"":""Huanhuan亲，这个旋转盘有链接吗1天前四川赞回复""}]",4868,小青柑
1749231045-79,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,太喜欢孤独的夜晚了，安静自在，无拘无束,https://sns-webpic-qc.xhscdn.com/202506070124/cdf37450bf347d3838e80234fab3e02f/1040g00831hdo0trf3s0g437coamo7eq5816vv3o!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/6822e129000000002102c34f?xsec_token=AB6yjUnyT_glcMEMXXzYp49GEhd8p3C-aL3hG-lHJTuic=&xsec_source=,#vlog #独居女孩 #浪漫生活的记录者 #夜晚放松时刻 #享受独处的快乐 #创新0油炸超Q超好吃 #康师傅鲜Q面 #宅家美食 #0油炸泡面 #方便面推荐,"[{""revie"":""就很许半夏感觉现在天天都是广告3天前内蒙古33小青柑作者618嘛！后面多更日常3天前湖北1回复展开 2 条回复""},{""revie"":""丸丸丸子这个面味道很棒 泡好后很筋道 吃起来很有嚼劲2天前上海21小青柑作者我又囤了一箱2天前湖北赞回复""},{""revie"":""上善若水没个男人，这日子有啥劲05-21山东311思念漫太古??你在搞抽象？05-22四川57回复展开 10 条回复""},{""revie"":""月亮厨房台面是木头的嘛？昨天 09:25浙江赞回复""},{""revie"":""飛蛾撲钬这样浇水，不会漏的到处都是吗？31分钟前陕西赞回复""},{""revie"":""王果然还是一个人住着好，美女，推荐一下茶几可以吗昨天 23:56河北赞回复""},{""revie"":""小桃兔兔还是觉得太寂寞了，没意思1天前上海赞回复""},{""revie"":""轻舟怎么处理猫毛的昨天 23:21湖北赞回复""},{""revie"":""瘦瘦我啥时候才能有这样的一套房子不需要男人，和闺蜜一起聊聊天吃吃东西真好1天前陕西赞回复""},{""revie"":""我是一个小机灵儿这个躺椅哪里买的1天前河南赞回复""}]",3193,小青柑
1749231267-124,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,胖东来茶叶怪不得限购,https://sns-webpic-qc.xhscdn.com/202506070124/a5677dfd16acb1797ffee015db2d86d4/1040g008314gkoj95ls004a6rq80udjl3socp4cg!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/667bdb56000000001c024d3d?xsec_token=ABhCkXbUnKqNOlXoahdchRZBDrxBDACxfRRdrjPNgE1IU=&xsec_source=,"这瓶真的开罐即绝杀！直冲天灵盖的清新青柑香，怪不得限购两罐
我还买了好多其他的，待我回去慢慢品尝哈哈哈哈","[{""revie"":""呆呆??感觉有些河南人还挺讨厌胖东来的，前几天我们去洛阳，出租车司机是当地比我年纪还小的一个弟弟，说胖东来还不如大张，大张福利也比胖东来好，然后我跟我朋友把大张和胖东来都逛了一下发现还是差距蛮大的2024-07-016266夕夕大张主要是买个菜 别听出租车司机瞎说2024-07-02259回复展开 65 条回复""},{""revie"":""Wi北方人是不是都不喝茶啊，随便的茶都说好2024-07-0677小红薯61BBEBAF不是所有人都追求高价啊选择自己喜欢的没什么问题2024-07-0831回复展开 6 条回复""},{""revie"":""惊黎胖东来加入我的旅游清单！2024-07-0677好的呢不要专门去，你可以现在小程序买点胖东来的无添加果汁尝尝味道。因为本地人去逛胖东来，经常都需要排队，人是真的很多2024-07-102回复展开 6 条回复""},{""revie"":""皮皮多少钱一罐啊2024-07-1421滚作者一百多点，我买的时候每人限购俩罐2024-07-15赞回复""},{""revie"":""新乡优选明天抢到一个号，有没有需要跑腿的，不割，本地人。2024-07-1324祖国的小花骨朵需要代购茶叶2024-07-13赞回复展开 3 条回复""},{""revie"":""吕布的水晶宝石坊（可塘水晶配件批发）虽然胖东来不错，但是小青柑还是少喝2024-07-1343小静子为啥啊2024-07-172回复展开 2 条回复""},{""revie"":""喜欢云南的卖茶男其实我也搞不懂，胖东来的茶又贵品质又一般，还那么多人吹捧，就像之前大家在抖音直播被割韭菜一样2024-08-1233芳芳蜂蜜因为放心2024-08-164回复展开 2 条回复""},{""revie"":""金刚八号黑子们再怎么喷…也无法阻挡我买胖东来产品的脚步…2024-07-0781月色.感觉一般2024-07-09赞回复""},{""revie"":""陶瓷.简茶關听劝，小青柑可以少喝就少喝2024-08-0552巫山晚、风月客为啥呀2024-08-06赞回复展开 1 条回复""},{""revie"":""喜洋洋的媳妇这个需要提前一天预约茶叶号才能买吗？2024-11-16赞1滚作者是的2024-11-161回复""}]",1392,滚
1749230722-16,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,每天认识一款茶—小青柑,https://sns-webpic-qc.xhscdn.com/202506070124/8eef5161476efe7cd8615a2eacb91dce/1040g2sg31di5mnudg8dg5padutoh76fhevuehl0!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/655c242c0000000017037785?xsec_token=ABzahZaYBdphczN1dXHBsXMXbS7XS2cIMHGj5LJTEsMUU=&xsec_source=,"??小青柑，也叫柑普茶，它用广东新会陈皮和云南西双版纳勐海县普洱茶为原料制作而成的一种茶，是普洱茶的一种。其特点一是入口甘醇、香甜，有独特的花香味和陈香味，这是由于新会柑的果香味特别，普洱茶长期吸附了柑皮的果香味所致。二是保健作用突出，发挥出新会陈皮“理气”的功效。
??产地：广东省江门市新会区。
??品质特征
??外形：皮厚圆润、质地密实、微起霜、内部茶叶紧实匀称
??色泽：棕褐色
??汤色：红亮
??滋味：醇滑浓厚、柑香浓郁
??香气：高扬馥郁、清新自然
??叶底：柑皮黄绿、茶叶棕黑、柔软
??小青柑柑皮表面的白霜，是核心产区的小青柑在经过日晒或低温长时间烘焙工艺后所析出的柑油结晶而形成的白色粉末状物质，它是一种具有保健功效的物质。那么怎么判断我们买到的小青柑上是白霜还是发霉呢，教你3个方法??
1.看
白霜呈现白色粉末状；
发霉是一种霉斑；
2.摸
白霜用手指轻轻摩擦会感觉到干燥有种白砂糖的质感，不易脱落；
发霉的话摸上去会感觉到湿滑有黏黏的感觉，易脱落；
3.闻
白霜闻上去有小青柑的清香；
发霉则很容易闻到霉变的异味。
??另外柑普茶和桔普茶也有区别
桔普茶用的是桔子皮，而柑普茶用的是新会区域种植的大红柑、小青柑，仅新会区水土能种出这种大红柑或小青柑。新会柑的皮是新会陈皮的直接原材料，有很高的药用价值，是柑普茶药用价值的主要来源，新会柑皮的成本要比桔子的皮贵数十倍，且盛放越久价值越高。
·
??新会陈皮和云南普洱的材料完美结合，混然天成，越陈越香。陈皮和普洱均为养生保健佳品，两者特点都是以越陈越香、越陈功效越佳、越陈越有价值而著称于世，柑普茶无论是外表还是内涵，均浑然天成，堪称一绝。饮之具有健脾养胃、清热解毒、化痰止咳、降脂减肥、养颜美容以及抗动脉硬化、抗衰老和醒酒等作用。
·
??冲泡小青柑也有几种不同的方式
①掀盖直冲茶心法
②钻孔冲泡法
③碎皮冲泡法
具体操作见图5??
#茶","[{""revie"":""旺旺仙贝hhh作者分享瞬间主页置顶评论2024-11-101回复""},{""revie"":""灌饼酱～703新人 旺仔有没有推荐的小青柑呢2024-06-1325旺旺仙贝hhh作者茶妈妈的还可以2024-06-157回复展开 4 条回复""},{""revie"":""旺旺仙贝hhh作者想要小青柑的可以4??信我，今年的上市咯，去年卖断货，实惠品质保证2024-07-1352方芳一颗小青柑可以泡几次2024-08-083回复展开 1 条回复""},{""revie"":""bela小贝这到底是……难道我喝了这么久的发霉的茶2024-10-31赞3旺旺仙贝hhh作者这看着就不行，品质不好，2024-11-011回复展开 2 条回复""},{""revie"":""旺旺仙贝hhh作者今年的新会小青柑，今年的青柑，3年的熟普，199米250g2024-07-2511felicity??请问怎么买02-021回复""},{""revie"":""今天没吃饱这个是发霉的吗2024-11-29赞1旺旺仙贝hhh作者不是，白霜可以喝，很好的2024-12-02赞回复""},{""revie"":""Lucy Liu洗茶 润茶 的水都不能喝吧？2024-11-24赞1旺旺仙贝hhh作者一般都不喝2024-11-251回复""},{""revie"":""玲玲可以用壶煮吗2024-11-0611朝茶暮酒 文静可以用壶煮也可以焖2024-11-23赞回复""},{""revie"":""灯光设计师阿皓蹲一个后端厂家2024-08-013回复""},{""revie"":""momo无闻的mo（打工版）@大红薯?? 泡茶是个艺术2024-04-113回复""}]",1134,旺旺仙贝hhh
1749231218-115,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,来到喜茶的发源地！江门??,https://sns-webpic-qc.xhscdn.com/202506070124/2b7170f0a9a66bcf9f654ea4ea1e815a/1040g2sg31hmijdff3o804a309no7dvbbbakhbgg!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/682beb6d0000000022007ac5?xsec_token=ABnkgnqBpMY0RiYWKBsJbeXVM6OskqDMWePr-3GTEB6Ds=&xsec_source=,"??????
很开心受到喜茶的邀请，来到喜茶的发源地——江门，参加江边里·芝芝柑普品鉴会
	
整场品鉴会的气氛都很轻松活跃，本i人也超级享受这个下午。
	
?【分享环节】
分享环节除了有喜茶江边里创始店的店长，还有喜茶的忠实粉丝分享了自己的故事。大学时期在皇茶门口大排队的场景真的历历在目呀！当时我等了一个小时就为了那一口幸福感满满的芝士奶盖！
	
??【香包制作】
超有意思的手工制作柑普香包，有超过10款不同的香料可以选择，经过挑选、研磨、包装等工序，我得到了一个属于自己的小香包！
（用了薄荷、柑普、陈皮、柠檬草，混合起来的味道很粤式很夏天）
	
??【芝芝柑普茶】
越长大越喜欢粤式的味道，陈皮+普洱+青柑，再搭配奶盖，完完全全击中我的喜好。喜欢普洱的朋友一定要试试！
	
这几年都很喜欢由根由本而生的创作与设计，喜茶这杯来源于【江门本地最有名的陈皮】的芝芝柑普，除了是味道上的融合创新，更是文化跟情感的共鸣。
我们的这个生活需要更多这样有温度的传递！
	
#喜茶 #喜茶江边里芝芝柑普? ?#喜茶江门品鉴会?#江边里?#江门陈皮?#喜茶首创店","[{""revie"":""辣辣脆屎饼平时又话几friend几friend，来江门都唔叫声我！05-20广东1116杰纳斯Janus作者下次同你单声！！！！！05-20广东6回复展开 5 条回复""},{""revie"":""Chok??刷到那么多??阿梁是把我拍的最好看的没有之一（没错我是店长）谢谢阿梁参加也欢迎随时来创始店集合哦??Ps:原来和乳西是frd！我好中意区d视频啊啊啊啊05-21广东219杰纳斯Janus作者多谢店长的喜欢！！！！??好爱你分享的那一Part05-21广东3回复展开 8 条回复""},{""revie"":""momo天呐，原来你是江门人!05-22广东赞1杰纳斯Janus作者我东莞人呢05-22广东赞回复""},{""revie"":""厌学症天呐！阿梁居然来我家乡了。想家05-20广东31杰纳斯Janus作者常回家看看回家看看05-20广东赞回复""},{""revie"":""N.O.W.A.Y啊啊啊几时来的2天前广东赞回复""},{""revie"":""ManGaga_@Mrrr 貓的吉普4天前中国香港赞1Mrrr哦豁4天前广东赞回复""},{""revie"":""summertime超爱这款，今年的喜茶top05-20广西43杰纳斯Janus作者我也很爱这个口味！05-20广东2回复展开 2 条回复""},{""revie"":""Rhae_Vyrisenyra啊梁会不会去深圳奇点艺术节想问问05-20中国香港赞2杰纳斯Janus作者不会哎05-20广东1回复展开 1 条回复""},{""revie"":""钮钴禄momo江门欢迎你！05-20广东42杰纳斯Janus作者下次再去！05-20广东赞回复展开 1 条回复""},{""revie"":""??许愿阿梁下次来喜茶的现居地深圳南山（这样就能有机会偶遇了）05-20广东赞1杰纳斯Janus作者马上到！哈哈哈哈05-20广东赞回复""}]",595,杰纳斯Janus
1749230948-59,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,听说泡茶可以修身养性？,https://sns-webpic-qc.xhscdn.com/202506070124/c482bf3bef8d1a72a6199bc036a1f2b1/spectrum/1040g34o31f4mci4umm0g4a5poarqglhctmi2030!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/67d81199000000001c03cb85?xsec_token=ABXpyDctfxOJ4G72DVjZE8GRpYAAMKpa2PPZHCxrsScbQ=&xsec_source=,#beautiful哥泡茶? ?#盖碗泡茶? ?#茶艺? ?#泡茶? ?#小青柑,"[{""revie"":""lexabro (美国版)I can't understand the words but I'm laughing so hard   so many things are universally understood03-185211吃猫饼不吐猫皮if you comw across any other chinese flashy tea ceremony vids you realise how clumsy thos guy is03-1812回复展开 10 条回复""},{""revie"":""momo看到博主这么久手也痒了，好想练一下，新手练习买什么样的盖碗比较好？03-173311野生的小雪糕便宜的，摔烂了可以再买不心疼的那种03-1721回复展开 10 条回复""},{""revie"":""是卿嫣啊靠！看得我手都疼03-17142苏叁可是他好白，还瘦瘦的手指纤纤03-174回复展开 1 条回复""},{""revie"":""小红薯9E192895狒狒是起到逗号的作用吗04-1682momo沸沸是烫的意思。04-161回复展开 1 条回复""},{""revie"":""红狐狸沸沸沸沸沸沸沸沸沸沸沸沸沸04-1672FIN.所以“沸”这个字，指不定就是祖先被开水烫着了叫的声音给的发音04-161回复展开 1 条回复""},{""revie"":""mini你怎么还没把铁砂掌练出来啊03-188回复""},{""revie"":""一朵小乌云那个球是啥茶04-16赞2迪夫我喜欢小橘子里面是普洱款04-16赞回复展开 1 条回复""},{""revie"":""鱼排这茶是我喝过最乱的茶04-164回复""},{""revie"":""哦呀嘿哈哈哈哈得多久能练出来不沸沸沸04-163回复""},{""revie"":""活一天算一天自从刷到一次笑死，真是每天都能看到[捂嘴笑R]04-163回复""}]",594,biu特否哥茶生活
1749230768-25,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,胖东来必买茶叶,https://sns-webpic-qc.xhscdn.com/202506070124/8f192b3cfa6b35881b215918e9fbf601/1040g2sg314gusied5s0g5o9jdnp0jkeca978h48!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/667c2e47000000001e01017b?xsec_token=ABAjxAskp7RQbiev8piYtTNIqGmPFip43pRByoZW_bfGc=&xsec_source=,"#茶叶推荐 #好喝的茶
推荐个个限购 件件断货
推荐满天星购买难度依旧满天星
不过 我想爱喝茶的想喝好茶的人一定会排除万难方才品味一盏清香
那么就请交给我我来帮你解决困难！
	
#客户送礼 #胖东来 #胖东来代购 #小青柑 #茶叶 #胖东来茶叶","[{""revie"":""Bonjour降价了呀？我刚买完2024-06-2614小张爱逛胖东来作者你在哪里买的，这个标的是原价的2024-06-261回复展开 3 条回复""},{""revie"":""咩咩怎么代购2024-09-1721小张爱逛胖东来作者看这里??，红色框框2024-09-17赞回复""},{""revie"":""朵朵是小天使??小青柑可以带吗？多少钱啊2024-07-0111小张爱逛胖东来作者可以的，主页置顶笔记有详情2024-07-012回复""},{""revie"":""爱看演出现在改名叫柑普茶了02-20赞1小张爱逛胖东来作者对03-19赞回复""},{""revie"":""jessie一提几饼？02-19赞1小张爱逛胖东来作者五03-19赞回复""},{""revie"":""一尾鱼服务费多少2024-12-30赞1小张爱逛胖东来作者基本是1??0??%2024-12-31赞回复""},{""revie"":""小太阳茉莉飘香最少买多少克2024-12-01赞1小张爱逛胖东来作者没有最少限制 甚至可以问店员要一点 干嚼一下尝尝2024-12-012回复""},{""revie"":""momo小青柑还有吗？02-26赞回复""},{""revie"":""小红薯6775A333。cx02-16赞回复""},{""revie"":""Arya-@滴滴wrx2024-12-08赞回复""}]",543,小张爱逛胖东来
1749230710-14,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,揭露小青柑，为什么劝你不要喝！,https://sns-webpic-qc.xhscdn.com/202506070124/e5651ccfedf6ffc0f98fec31992d5375/1040g00831598bfhoh45g5pk3ue83utpig0a2f90!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/669651c50000000005005e04?xsec_token=ABSbbWs3rCUEDd6lAtl5IRmtHKn0ia9poSpWp655xCw3A=&xsec_source=,"???小青柑的五大危害
1?破血破气??
小青柑其实就是未成熟的柑皮，也就是中药里的“青皮”哟。青皮这性子可猛啦??，像气虚、体虚的人，高龄的老人家，未成年的小朋友，气血不足的女士，要是喝了，可能会出虚汗、呼吸不顺畅，还会精力下降呢??。
2?农药残留??
小青柑果在种植的时候，会用好多农药和化肥。这些残留的化学物质，可能会随着咱们喝进身体里，长期积累下来，对健康的影响可大啦??！
3?容易上火??
小青柑很难完全干燥好，如果没干透就会发霉，要是高温干燥，里面的普洱茶又没法陈化，还带着燥气，喝了特别容易上火??。
4?对肠胃刺激大??
小青柑的茶性比较烈，对于肠胃功能不太好的朋友，它就像个“捣蛋鬼”??，会刺激肠胃黏膜，让胃酸分泌过多，然后胃痛、胃胀这些问题就都来啦??。
5?品质参差不齐??
市场上的小青柑那叫一个鱼龙混杂??，好多都是用低质茶叶填充的，甚至还有加不明成分来增香增口感的。而且小青柑里面的茶很难洗干净，卫生方面真让人担心??。
????替代品：陈皮普洱
陈皮能健脾理气，普洱茶温和养胃，这俩搭配在一起，那简直是脾胃的“保护神”??，让脾胃充满“活力”??。#普洱茶#陈皮 #召唤茶友 #女生喝什么茶好 #我的健康生活 #一人食吃什么","[{""revie"":""回收普洱茶奶茶可乐炸鸡我都炫了，区区小青柑我还怕啥2024-07-214279桦茗作者2024-07-216回复展开 8 条回复""},{""revie"":""momo我也是气血虚，但是，我因为气血虚我都便秘，喝了小青柑才好排便2024-08-015131桦茗作者小青柑应该没有这个功效吧 便秘可以试试西梅2024-08-015回复展开 30 条回复""},{""revie"":""柠檬无糖咖啡散播焦虑2024-07-291245那就让自己变强吧我也觉得  我感觉我喝其他茶都会难过  喝这就很舒服2024-07-3023回复展开 4 条回复""},{""revie"":""123你说的这些危害，陈皮普洱也有2024-07-23504桦茗作者多喝热水2024-07-236回复展开 3 条回复""},{""revie"":""沈一点食用油都吃了喜欢么多年了，还怕小青柑？2024-07-23402桦茗作者哈哈哈2024-07-231回复展开 1 条回复""},{""revie"":""兰韵行家里还有一箱，还要留吗2024-07-16412桦茗作者想到一个梗 “给同事喝吧”2024-07-1625回复展开 11 条回复""},{""revie"":""水川麻美喝了就出汗，发热，是不是不适合2024-10-0518桦茗作者破气了 别喝了吧茶友2024-10-053回复展开 7 条回复""},{""revie"":""小星星你这个说法是喝了劣质的小青柑吧！小青柑有分很多种的。03-1826Mr.Bao??新会的人听她在这胡诌都要笑死了04-012回复展开 5 条回复""},{""revie"":""无羁怪不得我每次喝完小青柑都感觉不怎么好！！！2024-07-1622桦茗作者2024-07-16赞回复展开 1 条回复""},{""revie"":""momemo正在经历第一个…整个人就是气血虚脱，连喝了三四天，还是喝一整天当水喝…2024-08-0921桦茗作者快停了2024-08-091回复""}]",481,桦茗
1749231291-129,https://www.xiaohongshu.com/search_result?keyword=%25E5%25B0%258F%25E9%259D%2592%25E6%259F%2591&source=unknown,注意注意??喜茶今日「超清爽小青柑」上新??,https://sns-webpic-qc.xhscdn.com/202506070124/fb2fc9bdfa148ebadf0c59c34b052e01/1040g00830oacvp6s2a004a6et014fvsf4teeuno!nc_n_webp_prv_1,,https://www.xiaohongshu.com/search_result/64ec3f7a000000000a018e38?xsec_token=ABWBWIgaFq4RwqEe0qlRfjkLA7OZFJCw1EFuFChxOKDK0=&xsec_source=,"尽管立秋已至，仍挡不住阿喜对夏日的留恋（啊啊啊夏天爱我别走～
如果你非要离开，那我只能派出今日上新的「超清爽小青柑」来锁住夏日回忆了??
	
「超清爽小青柑」 16r??
??定制小青柑风味，??青涩鲜爽，芳香浓郁
??优选当季阳光玫瑰青提鲜果，?真水果，色泽如玉??自带玫香
??甄选定制无香精茶底，?真原茶?无茶粉，高爽甘醇
	
阿喜饮用小tips：
*使用吸管jio拌jio拌在饮用，口感风味更佳哦～
#喜茶 #真品质","[{""revie"":""喜茶作者@Lynn_up @恭喜我鸭?? @碎碎念z @领导 @你是小王吧 喜悦发生置顶评论2023-10-2533碎碎念z芜湖2023-10-25赞回复展开 2 条回复""},{""revie"":""喜茶作者这个夏天我要用_______清爽一夏2023-08-281951喜茶作者来填空????5??茶茶，嚯一杯??2023-08-2813回复展开 50 条回复""},{""revie"":""红樱待盛夏.??什么时候回归酷黑莓桑！！我还没喝过呢2023-08-281910红樱待盛夏.??顶2023-08-28赞回复展开 9 条回复""},{""revie"":""Breeze在喜茶lab就是好2023-08-28赞4喜茶作者吃了什么2023-08-29赞回复展开 3 条回复""},{""revie"":""恭喜我鸭??这题我会用喜茶清爽一夏2023-08-2852喜茶作者这孩子打小就聪明2023-08-283回复展开 1 条回复""},{""revie"":""碎碎念z这个夏天我要用超清爽小青柑清爽一夏！刚走到喜茶一眼就看中新款了！好想喝呀呀呀2023-08-2827碎碎念zup2023-08-283回复展开 6 条回复""},{""revie"":""玩家编号:96894这款能回来吗，超好喝2023-08-2981l.我也超爱，一直在等2023-08-31赞回复""},{""revie"":""cici我的芝芝鸭喜香 芝芝岚岩全没了2023-08-29赞4別再懶了呀哪里呀 我这边门店还有2023-08-30赞回复展开 3 条回复""},{""revie"":""希儿炫冰冰9月1的联动不放出来吗2023-08-2823爱玩??的阿拉蕾什么联动2023-08-28赞回复展开 2 条回复""},{""revie"":""Lynn_up喜茶2023-08-28赞1喜茶作者2023-08-29赞回复""}]",328,喜茶
