web-scraper-order,web-scraper-start-url,titl,imag-src,click,click-href,conte,revie,star,author
1749266739-3,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,我还以为再也喝不到好喝的新会陈皮了?,https://sns-webpic-qc.xhscdn.com/202506071125/7d4f5383a9ac231a5a113526ebedb988/0302bm016gc7o56yrx9010zsa4u0s9kgug!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/637c8b4c000000000d028fbb?xsec_token=ABmASAp1tlQB6uIQzEwe2lErRm4Blwf0SOacrlLCwFpgk=&xsec_source=,"喝陈皮三四年了，之前一直在附近的茶庄买，现在搬家了，也没留个茶庄老板的联系方式。在网上挑了家知名度比较高的，没想到满满的都是科技。表皮发黑，内囊几乎看不到经脉的存在，用手电筒照的时候几乎看不见油包。怪不得经常看到大家说容易买到假的新会陈皮，没想到品牌的也不是很靠谱
·
看小红书一些帖子说药店品质也很一般，我不信邪，还是抱着堵堵看的心态去买了。当时在药店看着外貌还不错，跟之前喝的很像，油包看着也还行，但是泡出来根本没啥陈皮味！真的踩雷了
·
真的很想念之前的味道，最后还是托人联系了之前的茶庄老板，可惜老板不干了。他看我是老顾客便给我推了新会当地的果农。内囊脉络明显，油包很密集，陈皮味光是闻起来就十分香浓
·
今天一时兴起，就给大家拍个照片做对比。现在市面上的工艺皮越来越高明了，有时候肉眼甚至分辨不出来，还是希望各位陈皮爱好者都能喝上好喝的陈皮
#新会陈皮 #测评","[{""revie"":""CC-莎莎第一种是好还是不好？2024-10-06赞回复""},{""revie"":""新会陈皮农村小伙老树果的皮薄油包是比较清透的，嫩树果皮厚不清透的，每个产区皮的价格，功效，味道也不一样的2022-11-221回复""}]",9,瘦到100斤冲啊
1749266751-5,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,三年的皮，又被虫??当窝里！！！,https://sns-webpic-qc.xhscdn.com/202506071125/6b8326fb4d0e54592b6f4645a804234b/1040g2sg31ae25fji7c6g5p4ufa5483kcomfeik0!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/673dd259000000000203b817?xsec_token=ABi9nPhshbpEQfnC_IZbUxW24QtyP9GuDLra79eerk0r4=&xsec_source=,"东西好不好
假不假
虫子??比你懂[捂脸]#陈皮","[{""revie"":""??手可摘星陈你的皮内囊厚的好像假皮2024-11-20419邻家作者三年皮是这样的2024-11-212回复展开 18 条回复""},{""revie"":""吉士汉堡加茄酱你的三年皮，好像一年皮。没怎么转化2024-11-2028邻家作者看颜色，还可以吧2024-11-211回复展开 7 条回复""},{""revie"":""细B的妈首先皮不是新会陈皮，二次新皮不适合玻璃瓶存放2024-11-25赞13喜居饮食??新会人，识货2024-11-291回复展开 12 条回复""},{""revie"":""天酝牌六堡茶我4年的皮2024-11-21赞9Hcl好靓的皮2024-11-211回复展开 8 条回复""},{""revie"":""yoyo有没有懂看的帮我看看2024-11-28赞6yoyo2024-11-281回复展开 5 条回复""},{""revie"":""momo多拿出来晒晒2024-12-08赞4泡泡铁桶布袋在哪里买呀？有店家推荐吗？2024-12-12赞回复展开 3 条回复""},{""revie"":""邻家作者对，推介下，哪里有鲜果卖，卖过来自己弄2024-11-25赞1Lifelong有2024-11-28赞回复""},{""revie"":""新会陈皮果农家的小二拿到冷冻层冷冻，然后再拿出来晒干，蛀虫才会死2024-11-26赞1邻家作者学到了2024-11-26赞回复""},{""revie"":""Smil求教怎么能防虫2024-11-21赞3大只广八角2024-11-22赞回复展开 2 条回复""},{""revie"":""宋秋阳这要是新会皮，我全生吃了。再给你赔等量的。2024-12-0822糖钰小宝哥们，那怎么弄到真的？2024-12-17赞回复展开 1 条回复""}]",12,邻家
1749266760-7,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,新会茶枝柑-新会陈皮-陈皮艺术,https://sns-webpic-qc.xhscdn.com/202506071125/9f2e3eaa95688954c237c84642a4633c/1040g00831bq1g7nt10005o9deh30aiqsf6hlbu0!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/676adb44000000000b023205?xsec_token=ABGwodB0VlcZ_AXzK1JAQpfI5Mdt4-ilfZ2yg1ZBVWjfE=&xsec_source=,把新会陈皮玩出花来、艺术晒制陈皮！新会东甲冬后皮、超红足糖的魅力！期待储存三年后的朱砂红、朱砂黑！#新会陈皮#冬后大红皮陈皮 #梅江 #东甲#塞口围 #牛比围冬后 #新会老树柑 #私家收藏 #玩陈皮,"[{""revie"":""??多多靓大红01-21赞回复""},{""revie"":""梨花喵咪酱??好漂亮01-02赞回复""},{""revie"":""小红薯64BABB3F玩出芭蕾了2024-12-25赞回复""}]",9,独饮威士忌??
1749266765-8,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,陈皮的制作工艺,https://sns-webpic-qc.xhscdn.com/202506071125/7fee45de331ea4c30e87a3ea225d84d2/57e38758-1105-37ad-9726-246a7afdbcac!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/604df347000000000102cca9?xsec_token=ABuhWtuGsmo4PkQV1YYjdhbPd6BbgJ4esGqsflBHRenK0=&xsec_source=,"陈皮的制作工艺流程：
1.先按照“两刀三瓣”将柑皮切开剥离果肉，然后静置四、五小时，使其自然脱水萎缩。
2.手工将柑皮翻起来，让白的一面向上，放到干燥的场地上自然风干。
3.用麻袋或者草袋等通风包装装起来，入库干燥保存，梅雨季节需防湿防潮。
正宗地道的干仓陈皮是阳光生晒，自然陈化，不加特殊工艺手段制成的，柑皮慢慢陈化三年，才叫陈皮，切不可操之过急。
新会陈皮：年份短的陈皮内表面呈雪白色或黄白色，外表面呈猪须纹，颜色呈鲜红色或暗红色；年份高的陈皮内囊风化蓬松自然剥落有立体感，内外表面陈旧感明显，呈棕褐色甚至黑色。但无论多陈，都干净鲜明，纹理清淅，有光泽。","[{""revie"":""大宝请问一天只有阳台晒1小时能晒吗？晒到没太阳收起来第二天晒吗2022-09-2926张姑娘家陈皮作者你要摸一下皮质硬了就放凉了可以存起来2022-09-291回复展开 5 条回复""},{""revie"":""源来如此对橘子皮有什么要求吗？2022-10-01赞6张姑娘家陈皮作者必须是新会皮2022-10-011回复展开 5 条回复""},{""revie"":""华仔怎么联系你啊？2024-11-2411张姑娘家陈皮作者2024-11-24赞回复""},{""revie"":""圆圆怎么买呀2023-04-1611张姑娘家陈皮作者cpc   1792023-04-161回复""},{""revie"":""ZZ~琪不用蒸吗？2022-10-0311张姑娘家陈皮作者不用2022-10-03赞回复""},{""revie"":""琦姐儿几月有采摘2022-07-2311张姑娘家陈皮作者现在开始采摘了，欢迎来果园2022-07-24赞回复""},{""revie"":""豆豆妈洗的时候需要用盐搓洗吗？2022-12-18赞1张姑娘家陈皮作者不用2022-12-18赞回复""},{""revie"":""丘山晒之前需要洗吗2022-10-14赞1张姑娘家陈皮作者用湿毛巾擦擦2022-10-14赞回复""},{""revie"":""张姑娘家陈皮作者收藏陈皮cpc1792024-09-25赞回复""},{""revie"":""张姑娘家陈皮作者cpc179妹妹在2024-06-20赞回复""}]",694,张姑娘家陈皮
1749266792-14,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,陈皮的真实年份怎么判定？教你实用一招,https://sns-webpic-qc.xhscdn.com/202506071125/8024aba53da525b6e0fc938c5ce90ce1/1040g00830nojr5oe7a5g45oq80q1p0hptq5s4io!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/64da090d000000000b02992b?xsec_token=ABHdxFjmCf8tSOXhlKXLLLnXwoH74mVfdsvvP5jnci9Ns=&xsec_source=,"?? 陈皮的真实年份怎么判断，其实是可以从内囊情况初步判定？
.
?? 比如那种内囊看起来厚厚实实，没有立体感的，都是人工干扰过的，很多都是不到三年，就做旧，做成10年，20年，自然陈化不到三年，养生效果也发挥不出来
.
?? 自然陈化的新会陈皮，不管多少年，内囊都会呈现海绵浮松感，有立体感，只不过随着不同年份，脱落的情况不同
》
》具体可以看上图，希望对大家有用，不知道怎么挑选好陈皮，或者需要鉴别陈皮，欢迎大家留言或私聊
.
#新会陈皮科普??#正宗新会陈皮???#陈皮#新会陈皮鉴定 #陈皮评鉴","[{""revie"":""云淡风轻是十年的吗？2023-11-12618邹伟伟陈皮评测作者没有2023-11-132回复展开 17 条回复""},{""revie"":""我有厌蠢症能否帮忙看看，谢谢01-03111邹伟伟陈皮评测作者只有这一片吗？01-04赞回复展开 10 条回复""},{""revie"":""+++++++蛋这个呢？03-02赞7邹伟伟陈皮评测作者别人送的吧03-10赞回复展开 6 条回复""},{""revie"":""七曜03-08赞5邹伟伟陈皮评测作者03-10赞回复展开 4 条回复""},{""revie"":""Morvantos能否帮忙看看这个是几年的陈皮呀02-19赞3邹伟伟陈皮评测作者发霉了？03-10赞回复展开 2 条回复""},{""revie"":""乘七老板 这个看起来呢 是真的吗 大概有多少年 求解答01-18赞3邹伟伟陈皮评测作者看不清01-19赞回复展开 2 条回复""},{""revie"":""??Joy.yao??这是正面01-11赞3邹伟伟陈皮评测作者科技01-12赞回复展开 2 条回复""},{""revie"":""嗨~老师 这个能看出是自然还是工艺皮嘛01-10赞3邹伟伟陈皮评测作者看着还好，看着口感一般吧01-111回复展开 2 条回复""},{""revie"":""芝麻烦老板看一下，这有10年吗？01-10赞3邹伟伟陈皮评测作者10年没有01-10赞回复展开 2 条回复""},{""revie"":""白菜不白这个有十年吗01-07赞3邹伟伟陈皮评测作者没有01-07赞回复展开 2 条回复""}]",720,邹伟伟陈皮评测
1749266797-15,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,陈皮玫瑰,https://sns-webpic-qc.xhscdn.com/202506071125/67a34bc6bb2819f7eb2e6bc7e4f431a3/1040g008316i21jl61e504a4qnke0pfera6gorqo!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/66bedb09000000000d032c9b?xsec_token=AB1p3CttayRu1_UiAZFOAAGyFsM7h2V5wJ46GtuQpfJ5g=&xsec_source=,"陈皮存放3年以上才有药用价值
日常饮用以原枝大红皮为主
二红皮或青皮以复方入药为主
3-5年的陈皮适合入膳
5-10年的陈皮适合日常饮用
10年以上的陈皮养生最佳
……
#养生茶 #食疗养生 #陈皮","[{""revie"":""珠海CORIUM &HTL～Wing??你好，是晒干还是烘干的2024-11-0922智卉作者天然日晒的哈2024-11-09赞回复展开 1 条回复""},{""revie"":""林檬茶TT摆那么好看，不用翻晒吗？会长虫啊2024-10-2031智卉作者正常翻晒就行的哈2024-10-201回复""},{""revie"":""小罗总好看是好看，如果是真的新会好皮，就是有点糟蹋了。陈皮不是晒干了就可以，还得经过岁月的陈化，这里就会出现里外不一（陈化、排酸、干燥）01-061回复""},{""revie"":""瓶子酱图一的罐子能不能推个链接呀2024-11-161回复""}]",128,智卉
1749266802-16,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,陈皮 深度解读 教你一些你能用到的知识,https://sns-webpic-qc.xhscdn.com/202506071125/2f4194575615a03f4db679656ae2b4d3/1040g2sg30tta7mdckq605ng6tvg08ql2376mtp8!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/65a37dc0000000001d032593?xsec_token=ABcYGcBcTZ2Aiv2yyQ-ucHga6D-RaMw7Rt_dP4JGmqUhs=&xsec_source=,#陈皮 #新会陈皮 #广陈皮 #中药 #中医,"[{""revie"":""梦觉如果纯药用是不是不需要追求广陈皮呢02-10赞2进哥说本草作者这个看自己。02-11赞回复展开 1 条回复""},{""revie"":""小呀小仙凡进哥，帮我看看这个能不能喝。家人在网上买的，我看着好多发黄怕有霉2024-12-08赞2进哥说本草作者你这都是。乱七八糟的掺在一起的。2024-12-09赞回复展开 1 条回复""},{""revie"":""越甲是不是现在嫁接的陈皮，是嫁接在柠檬树上呢？有次喝到一个3年陈皮(还不便宜)，后味儿居然是清亮的果酸2024-01-2311草没sister驳枝。2024-03-16赞回复""},{""revie"":""应无所住03-28赞回复""},{""revie"":""白帝进哥，普通陈皮怎么看品质好坏？是颜色鲜艳的好还是深颜色的好呢？03-20赞回复""},{""revie"":""鱼胶琥珀2024-01-31赞回复""},{""revie"":""靡嗯嗯嗯，挺好，学到了，感谢2024-01-23赞回复""},{""revie"":""??大佬，能不能讲一下牛大力，种植的和野生的干切片的辨认？2024-01-20赞回复""},{""revie"":""山念师兄先赞为敬2024-01-20赞回复""}]",150,进哥说本草
1749266811-18,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,新会梁启超故居：周边卖陈皮，内里精神无价,https://sns-webpic-qc.xhscdn.com/202506071125/2ad8b80c6d7ce830d90db67b3c4b16ff/1040g00830tr7sagbkmig5p4p4n3iqgn9u5d9qqg!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/65a15521000000001d02b054?xsec_token=ABEBTIqYxK-nVl8ztujXPL7mbeLuPi10JJZEkj9vvmL0o=&xsec_source=,去梁启超故居，进到茶坑村口，看到旁边都在卖陈皮，足见新会号称陈皮之乡之功力。先到梁启超纪念馆看展览介绍，发现分期记录的很详尽，可观这位天才的传奇一生。梁启超故居建于清光绪年间，是一幢古色古香的青砖土瓦平房，由故居、怡堂书室、回廊等建筑组成，建筑面积有400多平方米。整体感觉方正清爽，其家庭教育亦值得研究和借鉴。#值得一去的博物馆 #人文景点分享 #历史建筑,"[{""revie"":""努力努力再努力放宽心图1请问在哪2024-07-15赞1玉露风华作者梁启超纪念馆，挺新的，也在那里，几年前去还没有。2024-07-16赞回复""},{""revie"":""玉露风华作者陈皮有价，精神无价2024-01-131回复""}]",7,玉露风华
1749266816-19,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,探店—葵记新会陈皮,https://sns-webpic-qc.xhscdn.com/202506071125/e8973bcb66fd0aff9b343d2cbc6db3e8/1040g00830u4vpooal40049f2fa03qqjq47ttp8g!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/65ab5063000000000a032ba3?xsec_token=ABrd0yD7lYFj4M5bETSrb5WQQs3tvkg5ZQ-17Ci76ymeI=&xsec_source=,新会的葵记陈皮，是国家地理标志认证商家。今天过来看看～,"[{""revie"":""丸不丸图3/4分别是什么套餐呀2024-06-2011Yuki酱作者亲爱的 下面定位按进去 有电话可以咨询一下哦，我也不大清楚现在套餐是怎样2024-06-22赞回复""},{""revie"":""葵记2024-04-081回复""},{""revie"":""Yuki酱作者118陈皮零食大礼包\n208陈皮心选大礼包\n328 陈皮甄选大礼包 \n\n进来就闻到陈皮香气，有好多不同年份的陈皮购买。\n—新会陈皮 \n坚持自然生晒，保留陈皮的原始香气。采用优质的新会柑皮，严格筛选、晾晒、陈化等工序。\n—新会陈皮普洱茶小青柑\n陈皮与普洱茶的结合，既有陈皮的效果，又增添了普洱茶的醇香，很是特别。\n—钙盐陈皮\n无论是作为零食，还是用来泡茶，都能带来独特的味觉享受。\n—各款零食\n雪糕、西式包点、陈皮梅饼、陈皮塔塔酥……2024-01-20赞回复""},{""revie"":""五减一『ONE』昨天去探了下，门面应该重新装修了，跟你图里的不一样05-20广东赞回复""}]",20,Yuki酱
1749266825-21,https://www.xiaohongshu.com/search_result?keyword=%25E5%2581%2587%25E9%2599%2588%25E7%259A%25AE&source=unknown,第一次买新会陈皮?一定要注意这些点,https://sns-webpic-qc.xhscdn.com/202506071125/f6ebeba164df446b96206dba0f3bae55/1040g00830p9mvseo42005p53ftr7osht7va4ito!nc_n_webp_mw_1,,https://www.xiaohongshu.com/search_result/650c4fe40000000020003616?xsec_token=AB72ziSMA8-SfYdQl2_3rhWIBw_yroqnz36trl4mnm0cE=&xsec_source=,"我把这些年喝陈皮踩的雷总结一下，给大家参考参考
?买陈皮不要想着贪便宜，贪便宜你就中圈套了，某多多上有两三百块钱一斤的十年老陈皮，可千万信不得，先不说陈皮晾晒的陈本不说，就算年份高的陈皮不可能那么便宜啦。
?不要买滋补 品店的陈皮，滋补 品店的陈皮很大程度上的陈皮都不是新会的，或者是工艺皮，
?选陈皮不要只看品牌觉得品牌就是好的，很多品牌都不是源头厂家，有些也似乎收购回来的，可能用的也不一定正宗新会陈皮，有些确实是在新会，但是极有可能不在一线产区。加上品牌需要推广运营等，溢价会较高，所以可能性价比会低很多。
自己还是要懂一些陈皮的鉴别方法。另外提醒：如果是找新会果农也要特别注意。去找那些能试喝的商家，先试喝看看。
#陈皮推荐 #新会陈皮 #陈皮 #陈皮知识讲座","[{""revie"":""一梦入山风作者@岁月堂茶坊置顶评论2023-09-26赞2一梦入山风作者我喝的是这家的2023-09-26赞回复展开 1 条回复""},{""revie"":""小红薯6792582B刚去药店就买到工艺皮，气死了，不知道能不能退2023-09-2111一梦入山风作者赶紧去问问！2023-09-221回复""},{""revie"":""用户已注销分析的对我很有帮助，谢谢！2023-09-22赞1一梦入山风作者不客气！2023-09-23赞回复""},{""revie"":""好吧品牌，药店，都不能买，还有真的么2023-09-22赞1一梦入山风作者品牌不是不能买，就是性价比没这么高2023-09-22赞回复""},{""revie"":""勿忘我2024-01-16赞1_秋秋秋_这…油室一个也没有2024-02-04赞回复""},{""revie"":""耶丽可可2024-09-08赞回复""},{""revie"":""小红薯65984871礼貌拿图谢谢2024-06-14赞回复""},{""revie"":""Web3每日精進真的皮2024-04-17赞回复""},{""revie"":""momo姐妹 我这里有新会陈皮 自家的果园 支持试喝 刷到你帖子说你喝了很多年 所以前来自荐一下 希望把你发展成长期用户 我们刚在网上买 所以定价很低 欢迎来询问2024-03-29赞回复""},{""revie"":""莹能帮忙看看这是真的十五年的吗2024-02-10赞回复""}]",51,一梦入山风
